[2024-08-01 15:35:26,306: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-08-01 15:35:26,312: INFO: common yaml file: params.yaml loaded successfully]
[2024-08-01 15:35:26,313: INFO: common created directory at: artifacts]
[2024-08-01 15:35:26,313: INFO: common created directory at: artifacts/base_model/]
[2024-08-01 15:35:26,916: INFO: stage_02_prepare_base_model >>>>> Stage Prepare Base Model Stage finished >>>>>]
[2024-08-01 15:35:32,257: INFO: stage_02_prepare_base_model >>>>> Stage Prepare Base Model Stage started >>>>>]
[2024-08-01 15:35:32,259: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-08-01 15:35:32,261: INFO: common yaml file: params.yaml loaded successfully]
[2024-08-01 15:35:32,262: INFO: common created directory at: artifacts]
[2024-08-01 15:35:32,262: INFO: common created directory at: artifacts/base_model/]
[2024-08-01 15:35:32,594: INFO: stage_02_prepare_base_model >>>>> Stage Prepare Base Model Stage finished >>>>>]
[2024-08-01 15:37:46,929: INFO: stage_02_prepare_base_model >>>>> Stage Prepare Base Model Stage started >>>>>]
[2024-08-01 15:37:46,930: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-08-01 15:37:46,932: INFO: common yaml file: params.yaml loaded successfully]
[2024-08-01 15:37:46,932: INFO: common created directory at: artifacts]
[2024-08-01 15:37:46,933: INFO: common created directory at: artifacts/base_model/]
[2024-08-01 15:37:47,183: INFO: stage_02_prepare_base_model >>>>> Stage Prepare Base Model Stage finished >>>>>]
[2024-08-01 15:40:42,871: INFO: main >>>>> Stage Data Ingestion Stage started >>>>>]
[2024-08-01 15:40:42,874: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-08-01 15:40:42,875: INFO: common yaml file: params.yaml loaded successfully]
[2024-08-01 15:40:42,875: INFO: common created directory at: artifacts]
[2024-08-01 15:40:42,875: INFO: common created directory at: artifacts/data_ingestion]
[2024-08-01 15:40:42,877: INFO: data_ingestion Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view into file artifacts/data_ingestion/data.zip]
[2024-08-01 15:40:54,797: INFO: data_ingestion Data downloaded from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view into file artifacts/data_ingestion/data.zip]
[2024-08-01 15:40:55,712: INFO: data_ingestion Zip file extracted]
[2024-08-01 15:40:55,712: INFO: main >>>>> Stage Data Ingestion Stage finished >>>>>]
[2024-08-01 15:40:55,713: INFO: main >>>>> Stage Prepare Base Model Stage started >>>>>]
[2024-08-01 15:40:55,716: INFO: common yaml file: config\config.yaml loaded successfully]
[2024-08-01 15:40:55,718: INFO: common yaml file: params.yaml loaded successfully]
[2024-08-01 15:40:55,718: INFO: common created directory at: artifacts]
[2024-08-01 15:40:55,769: INFO: common created directory at: artifacts/base_model/]
[2024-08-01 15:40:56,326: INFO: main >>>>> Stage Prepare Base Model Stage finished >>>>>]
